s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
297.5555815;-13.3446251;-34.3539995;1.2307679;-0.0124635;10.1143115;-4.1124615
297.6555666;-13.4388646;-34.3205941;1.2295143;-0.012612;10.0735757;-4.104686
297.7555517;-13.5330621;-34.2870699;1.2282459;-0.0127606;10.032752;-4.0971381
297.8555368;-13.6272165;-34.2534256;1.2269626;-0.0129092;9.9918371;-4.0898177
297.9555218;-13.7213276;-34.2196597;1.2256644;-0.0130578;9.9508274;-4.0827251
298.0555069;-13.8153943;-34.1857711;1.2243514;-0.0132065;9.9097196;-4.0758596
298.155492;-13.9094165;-34.1517582;1.2230235;-0.0133551;9.8685102;-4.0692213
298.2554771;-14.0033929;-34.1176199;1.2216808;-0.0135038;9.8271954;-4.0628096
298.3554621;-14.0973233;-34.0833546;1.2203232;-0.0136526;9.7857718;-4.056625
298.4554472;-14.1912067;-34.0489612;1.2189507;-0.0138013;9.7442355;-4.0506668
